source	label	test_mae	ci_lo	ci_hi	val_mae	selected_from	exp	delta_vs_tm	delta_ci_lo	delta_ci_hi	val_delta_vs_tm
Tm_only	Tm-only	6.614527141761442	6.182964691780551	7.05073546722566	5.991735227038186	sourcehpo_tm_shared_drop0.05	sourcefinal_tm_shared_drop0.05				0.0
FEP	FEP ddG	6.261138412134152	5.852657398669069	6.670841141457817	5.8738843708806785	sourcehpo_ddg_fep_enc3e-5	sourcefinal_ddg_fep_enc3e-5	-0.35297614946205697	-0.4621031910260578	-0.24257013689377896	-0.11785085615750734
rosetta_esm	Rosetta ESM2	6.448386942318477	6.0233879466739415	6.8806255371096325	5.8048373747101865	sourcehpo_ddg_rosetta-esm_enc3e-5	sourcefinal_ddg_rosetta-esm_enc3e-5	-0.16517216734753032	-0.30581304479457716	-0.02502577052747237	-0.18689785232799938
thermoMPNN	ThermoMPNN	6.460685393297409	6.043263850619003	6.885170766416242	6.1772982968783285	sourcehpo_ddg_thermompnn_enc3e-5	sourcefinal_ddg_thermompnn_enc3e-5	-0.15246802690649047	-0.295777310738499	-0.0067311063921379	0.1855630698401427
rosetta_random	Rosetta random	6.513027388391662	6.089201183358025	6.938742137602935	5.9561455624064825	sourcehpo_ddg_rosetta-random_enc3e-5	sourcefinal_ddg_rosetta-random_enc3e-5	-0.09977276374656108	-0.22480880848101775	0.025939291480329224	-0.03558966463170332
rosetta	Rosetta ddG	6.52551594085576	6.105443617465455	6.950773206428591	5.875935316852555	sourcehpo_ddg_rosetta_lr1e-4_enc3e-5	sourcefinal_ddg_rosetta_lr1e-4_enc3e-5	-0.08801428500588658	-0.20077229320857132	0.024683848652187174	-0.11579991018563085
MD_Q_HPHIL_400K	MD-Q HPHIL 400K	6.730357691204784	6.306871872180277	7.153715017605893	5.942478148144567	sourcehpo_md_q-hphil-400k_lr1e-4_enc3e-5	sourcefinal_md_q-hphil-400k_lr1e-4_enc3e-5	0.11717315212550379	0.01195709510382672	0.2235205860631765	-0.04925707889361863
