regime	n	fep_minus_md	ci_lo	ci_hi
frozen	20	-0.18524322849993688	-0.3737524468691244	0.006671477693867871
frozen	80	0.02518125164433531	-0.11346848503671073	0.16496832470860678
frozen	160	-0.03731180239370984	-0.1886345801542486	0.11710891520744483
frozen	320	-0.026023607392879206	-0.2427401495587699	0.19200343626342734
hot	20	-0.44898548649004094	-0.7026493937296605	-0.1917071880019155
hot	80	-0.31151664963651404	-0.5066814359219386	-0.11195625588003845
hot	160	-0.27269275934030823	-0.41499006283577283	-0.13275260777722814
hot	320	-0.1821500122536985	-0.39257280255389304	0.02352612436347915
