correction	kcal_per_dq2	label_correlation	max_abs_scaled_shift	rows_shifted_gt_0.02
periodicity eps=97	0.069	0.9999342027614809	0.006195125751035813	0
periodicity eps=78	0.086	0.9998888688163886	0.007663900766706033	0
sensitivity 0.5	0.5	0.9967904255780037	0.04031372894596441	12
sensitivity 1.5	1.5	0.9733536995471566	0.10892780969320465	426
