condition	label	architecture	test_mae_deg_c	ci_lo_approx_deg_c	ci_hi_approx_deg_c	ci_width_deg_c
A_Tm	Tm only	latent	6.598215445231169	6.173705330908147	7.022725559554191	0.8490202286460438
B_ddG	FEP only	shared	6.407683427659544	5.982811872844611	6.832554982474477	0.8497431096298662
C_MD	MD Q only	residual	6.711410499734318	6.282960019757419	7.139860979711217	0.8569009599537978
D_ddG_MD_validation_selected	FEP + selected MD	latent	6.661829657535072	6.229597601217442	7.094061713852701	0.8644641126352584
D_ddG_MD_extra_q_value	FEP + MD Q-value	latent	6.625997622511286	6.2026366077466	7.049358637275972	0.8467220295293716
