encoder	test_set	n_test	delta_mae_deg_c	ci95_lo_deg_c	ci95_hi_deg_c
frozen	all test proteins	396	-0.04939839489536015	-0.09247943731738176	-0.005988990708565244
frozen	excluding eight exact matches	388	-0.04869855968074253	-0.09391527111952687	-0.005161617288586944
fine-tuned	all test proteins	396	0.11583054944334131	-0.009230788734191057	0.2426841459751146
fine-tuned	excluding eight exact matches	388	0.12187109309138527	-0.005469800967827164	0.24765454679896617
