n_md_labels	selected_setting	selected_validation_mae_deg_c	test_mae_deg_c	ci_lo_approx_deg_c	ci_hi_approx_deg_c	ci_width_deg_c	exp
0	enc3e-4	6.037089014818779	6.643921769018118	6.222147063912969	7.065696474123268	0.8435494102102989	hpo_selected_nmd0_enc3e-4
10	fixed_w0.10	5.8594143037656	6.775077716938128	6.360943353158546	7.18921208071771	0.8282687275591645	hpo_selected_nmd10_fixed_w0.10
40	fixed_w0.50	6.0208548425080295	6.555895693758544	6.122224391295279	6.98956699622181	0.8673426049265309	hpo_selected_nmd40_fixed_w0.50
80	fixed_w0.25	6.101212445500243	6.665583838581957	6.233002524524679	7.098165152639234	0.8651626281145548	hpo_selected_nmd80_fixed_w0.25
160	fixed_w0.05	5.926905107067588	6.692669280812402	6.255814454212432	7.129524107412372	0.8737096531999393	hpo_selected_nmd160_fixed_w0.05
320	enc3e-5	6.087377805250499	6.743199318681762	6.309263926550637	7.1771347108128865	0.8678707842622488	hpo_selected_nmd320_enc3e-5
640	fixed_w0.50	6.066590905525559	6.685310080235225	6.245083794847499	7.125536365622951	0.8804525707754518	hpo_selected_nmd640_fixed_w0.50
