exp	timestamp	encoder	base_model	axis	source	source_label	family	n_points	min_n	max_n	best_n	best_x_actual	best_mae	best_ci_width	mae_avg	slope	full_range_p_positive	path
lora_650m_lowflex_640	2026-05-06T06:36:04	lora	ESM-2 650M	n_md	MD_Q_LOWFLEX	Q low-flex 300K	MD Q	1	640.0	640.0	640.0	640.0	6.9633501966255045	0.8958613921009553	6.9633501966255045			results/lora_650m_lowflex_640/scaling.json
hot_cdr3_len	2026-05-19T09:20:27	hot	ESM-2 8M	n_md	MD_CDR3_LEN	CDR3 length	MD structure	4	10.0	640.0	10.0	10.0	7.037760957450503	0.8555998057558654	7.357879408050146	-0.0010000000009584048	1.0	results/hot_cdr3_len/scaling.json
short_frozen_t5	2026-05-30T01:25:50	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T5	Q HPHIL 400K, 5 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.198172195686013	0.8932086145193638	7.198172195686013			results/short_frozen_t5/scaling.json
fep_frozen	2026-05-29T23:09:09	frozen	ESM-2 8M	n_ddg	FEP	FEP ddG	Physics ddG	5	10.0	320.0	320.0	640.0	7.204575858653498	0.8783074013327123	7.239632472411422	-0.3244795083480717	0.1362	results/fep_frozen/scaling.json
combo_lowflex_highflex_frozen	2026-05-06T04:43:10	frozen	ESM-2 8M	n_md	MD_Q_LOWFLEX	Q low-flex 300K	MD Q	5	10.0	640.0	640.0	640.0	7.219724586484244	0.8979812904083904	7.634281794004903	-0.1146706429945794	0.0	results/combo_lowflex_highflex_frozen/scaling.json
frozen_q_400k	2026-05-23T19:49:35	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K	Q HPHIL 400K	MD Q	6	10.0	640.0	640.0	640.0	7.240938712815937	0.8873685339431052	7.40172683153639	-1.2459197912079842	0.0	results/frozen_q_400k/scaling.json
frozen_q_slope	2026-05-07T04:47:41	frozen	ESM-2 8M	n_md	MD_Q_SLOPE	Q slope 300K	MD Q	4	10.0	640.0	640.0	640.0	7.244563242002423	0.8896146567140644	7.390096702315063	-1.6122712481830266	0.0	results/frozen_q_slope/scaling.json
frozen_rmsf_max	2026-05-07T05:06:58	frozen	ESM-2 8M	n_md	MD_RMSF_MAX	RMSF max 300K	MD flexibility	4	10.0	640.0	160.0	160.0	7.249705892076024	0.8839013394340247	7.455809821318594	-0.9272140133094094	0.0	results/frozen_rmsf_max/scaling.json
short_frozen_t100	2026-05-30T02:13:30	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T100	Q HPHIL 400K, 100 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.251673209538724	0.8907296919789047	7.251673209538724			results/short_frozen_t100/scaling.json
frozen_q_min	2026-05-07T04:11:08	frozen	ESM-2 8M	n_md	MD_Q_MIN	Q min 300K	MD Q	4	10.0	640.0	640.0	640.0	7.261823121435907	0.8953669699832147	7.47440102786812	-1.0411251774244743	0.0	results/frozen_q_min/scaling.json
frozen_q_framework	2026-05-18T23:38:50	frozen	ESM-2 8M	n_md	MD_Q_FRAMEWORK	Q framework 300K	MD Q	4	10.0	640.0	640.0	640.0	7.265355994043876	0.8879562953235691	7.488888093821026	-1.4030753139196805	0.0	results/frozen_q_framework/scaling.json
short_frozen_t30	2026-05-30T01:54:56	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T30	Q HPHIL 400K, 30 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.26604264576726	0.9001536396715677	7.26604264576726			results/short_frozen_t30/scaling.json
short_frozen_t50	2026-05-30T02:04:12	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T50	Q HPHIL 400K, 50 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.267108180945328	0.8893065237360487	7.267108180945328			results/short_frozen_t50/scaling.json
frozen_cdr3_len	2026-05-19T01:24:01	frozen	ESM-2 8M	n_md	MD_CDR3_LEN	CDR3 length	MD structure	4	10.0	640.0	640.0	640.0	7.278781692131886	0.9001183203170138	7.555165944667348	-0.5279553015866665	0.0017	results/frozen_cdr3_len/scaling.json
frozen_ss_dist_mean	2026-05-19T00:41:55	frozen	ESM-2 8M	n_md	MD_SS_DIST_MEAN	SS distance mean	MD structure	4	10.0	640.0	640.0	640.0	7.286670607449736	0.8989253970353337	7.481719828620406	-1.6582790785026449	0.0	results/frozen_ss_dist_mean/scaling.json
short_frozen_t17	2026-05-30T01:44:21	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T17	Q HPHIL 400K, 17 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.2875802703788635	0.8948589741948743	7.2875802703788635			results/short_frozen_t17/scaling.json
frozen_rmsf_cdr3	2026-05-18T23:58:28	frozen	ESM-2 8M	n_md	MD_RMSF_CDR3	RMSF CDR3 300K	MD flexibility	4	10.0	640.0	40.0	40.0	7.300731799443737	0.8952818640799176	7.45989384877557	-2.9999999999999996	0.0	results/frozen_rmsf_cdr3/scaling.json
rosetta_full	2026-05-06T04:07:55	frozen	ESM-2 8M	n_md	ROSETTA_Q_HPHIL	Rosetta MC Q	Rosetta MC Q	8	10.0	960.0	160.0	160.0	7.316384555500494	0.9036513330482254	7.394186500314808	-2.999999999999821	0.0001	results/rosetta_full/scaling.json
frozen_q_std	2026-05-07T04:27:41	frozen	ESM-2 8M	n_md	MD_Q_STD	Q std 300K	MD Q	4	10.0	640.0	160.0	160.0	7.316450753987177	0.8993662463825549	7.577909216141831	-1.4747248542041311	0.0	results/frozen_q_std/scaling.json
