source	test_mae	ci_lo	ci_hi	val_mae	delta_vs_tm	delta_ci_lo	delta_ci_hi	val_delta_vs_tm
Tm labels only	6.547931901269491	6.0338683061378635	7.064277038682568	NA	NA	NA	NA	NA
"FEP mutation
free energy"	6.394508715394586	5.898981315814667	6.900618946956977	NA	-0.1534231858749049	-0.3232775128770905	0.01988962073463972	NA
"MD native-contact
(matched scan)"	6.576658727648285	6.0563580909220525	7.10198532863945	NA	0.028726826378793646	-0.13914101512233093	0.1974739025036951	NA
"ThermoMPNN
stability score"	6.620592243350584	6.10249344356803	7.1450629283879765	NA	0.07266034208109318	-0.11516911543077468	0.26396177500495444	NA
"random variants
+ Rosetta"	6.691650032759581	6.181716831427356	7.222168060324434	NA	0.14371813149008972	-0.06060561920824081	0.3431135981968075	NA
"Rosetta mutation
score"	6.625475345220457	6.109972974538465	7.144567592971613	NA	0.07754344395096613	-0.10348802393026749	0.26268271018460954	NA
"ESM2-proposed
variants + Rosetta"	6.9586277046843446	6.428168108528703	7.5106465665780835	NA	0.41069580341485334	0.1402057210070905	0.6978378811732627	NA
